Cast Vote Record,Precinct,Ballot Style,1st Choice Council Member At Large Seat B City of Minnetonka,2nd Choice Council Member At Large Seat B City of Minnetonka,3rd Choice Council Member At Large Seat B City of Minnetonka
156780,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156781,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
156782,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156783,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156784,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156785,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Jim Hadley,undervote
156786,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156787,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Ash Patel,Kimberly Wilburn
156788,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156789,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156790,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156791,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Kimberly Wilburn,Jim Hadley
156792,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Kimberly Wilburn,Daniel Kral
156793,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156794,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,undervote,undervote
156795,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156796,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156797,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156798,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156799,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156800,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156801,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156802,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156803,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156804,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156805,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,undervote,undervote
156806,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,undervote,undervote
156807,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156808,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156809,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Stacy Cranbrook,Stacy Cranbrook
156810,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,
156811,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156812,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156813,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156814,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Jim Hadley,Jim Hadley
156815,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156816,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Stacy Cranbrook,Stacy Cranbrook
156817,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156818,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Jim Hadley,Stacy Cranbrook
156819,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,undervote,undervote
156820,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
156821,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Jim Hadley,Kimberly Wilburn
156822,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Jim Hadley,Stacy Cranbrook
156823,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156824,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Kimberly Wilburn,Stacy Cranbrook
156825,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Stacy Cranbrook,Daniel Kral
156826,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,undervote,undervote
156827,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Kimberly Wilburn,undervote
156828,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,undervote,undervote
156829,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156830,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Jim Hadley,Stacy Cranbrook
156831,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,undervote,undervote
156832,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,undervote
156833,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156834,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Jim Hadley,Daniel Kral
156835,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Stacy Cranbrook,undervote
156836,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Stacy Cranbrook,undervote
156837,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Stacy Cranbrook,Stacy Cranbrook
156838,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Ash Patel,Daniel Kral
156839,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156840,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Stacy Cranbrook,undervote
156841,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Kimberly Wilburn,undervote
156842,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156843,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,undervote,undervote
156844,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156845,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Jim Hadley,Stacy Cranbrook
156846,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Kimberly Wilburn,undervote
156847,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Kimberly Wilburn,undervote
156848,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Kimberly Wilburn,Stacy Cranbrook
156849,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156850,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156851,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156852,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156853,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Stacy Cranbrook,undervote
156854,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156855,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Stacy Cranbrook,Kimberly Wilburn
156856,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Kimberly Wilburn,Daniel Kral
156857,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,undervote,undervote
156858,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Ash Patel
156859,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156860,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Daniel Kral,Jim Hadley
156861,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156862,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Jim Hadley,Daniel Kral
156863,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Kimberly Wilburn
156864,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,undervote,undervote
156865,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156866,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156867,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156868,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156869,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,Daniel Kral
156870,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156871,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Kimberly Wilburn,Stacy Cranbrook
156872,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156873,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Stacy Cranbrook,Stacy Cranbrook
156874,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156875,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156876,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Stacy Cranbrook,undervote
156877,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Stacy Cranbrook,Daniel Kral
156878,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156879,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156880,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156881,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Ash Patel
156882,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156883,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156884,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156885,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156886,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156887,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156888,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156889,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156890,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156891,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Stacy Cranbrook,Jim Hadley
156892,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156893,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156894,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Jim Hadley,Daniel Kral
156895,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Stacy Cranbrook,Ash Patel
156896,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156897,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156898,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Jim Hadley,Stacy Cranbrook
156899,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156900,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156901,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156902,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Stacy Cranbrook,Kimberly Wilburn
156903,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156904,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,undervote,undervote
156905,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156906,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,undervote,undervote
156907,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156908,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156909,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156910,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Kimberly Wilburn,Ash Patel
156911,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156912,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156913,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,undervote,undervote
156914,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,undervote,undervote
156915,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Kimberly Wilburn,Ash Patel
156916,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156917,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Ash Patel
156918,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156919,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Jim Hadley,Stacy Cranbrook
156920,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156921,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156922,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156923,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156924,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156925,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156926,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156927,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Kimberly Wilburn,Stacy Cranbrook
156928,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,undervote,undervote
156929,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,Kimberly Wilburn
156930,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156931,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,undervote
156932,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,undervote,undervote
156933,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Ash Patel,Kimberly Wilburn
156934,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Jim Hadley,Stacy Cranbrook
156935,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156936,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Jim Hadley,Daniel Kral
156937,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156938,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Jim Hadley,Daniel Kral
156939,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156940,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Kimberly Wilburn,Stacy Cranbrook
156941,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,undervote,undervote
156942,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156943,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Daniel Kral,undervote
156944,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Jim Hadley,undervote
156945,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,Daniel Kral
156946,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,undervote,undervote
156947,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Stacy Cranbrook,Kimberly Wilburn
156948,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
156949,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156950,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,Daniel Kral
156951,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,undervote,undervote
156952,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Stacy Cranbrook,Daniel Kral
156953,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Kimberly Wilburn,Stacy Cranbrook
156954,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Stacy Cranbrook,undervote
156955,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
156956,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156957,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156958,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156959,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,undervote,undervote
156960,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156961,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Stacy Cranbrook,undervote
156962,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156963,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Jim Hadley,undervote
156964,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156965,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,undervote,undervote
156966,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
156967,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156968,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,undervote,undervote
156969,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,Daniel Kral
156970,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156971,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,Jim Hadley
156972,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,undervote
156973,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Jim Hadley,Stacy Cranbrook
156974,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156975,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156976,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156977,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,undervote
156978,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
156979,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156980,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Kimberly Wilburn,Stacy Cranbrook
156981,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156982,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156983,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Jim Hadley
156984,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Stacy Cranbrook,Jim Hadley
156985,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Daniel Kral,Daniel Kral
156986,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,undervote,undervote
156987,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156988,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
156989,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Ash Patel,Ash Patel
156990,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,undervote,undervote
156991,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156992,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Kimberly Wilburn,Ash Patel
156993,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
156994,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,undervote,undervote
156995,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156996,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Jim Hadley,Jim Hadley
156997,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
156998,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
156999,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Stacy Cranbrook,Jim Hadley
157000,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
157001,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Kimberly Wilburn,Stacy Cranbrook
157002,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Daniel Kral,Jim Hadley,Kimberly Wilburn
157003,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
157004,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
157005,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,undervote,undervote
157006,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
157007,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Ash Patel,undervote
157008,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
157009,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Jim Hadley,Daniel Kral
157010,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Jim Hadley,Daniel Kral,Stacy Cranbrook
157011,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Kimberly Wilburn,undervote
157012,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
157013,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Daniel Kral,Ash Patel
157014,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
157015,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
157016,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Jim Hadley,Kimberly Wilburn
157017,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Kimberly Wilburn,undervote
157018,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,undervote,undervote
157019,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
157020,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
157021,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
157022,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
157023,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Ash Patel,Kimberly Wilburn,Stacy Cranbrook
157024,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
157025,MINNETONKA W-4 P-D,MINNETONKA W-4 P-D,undervote,undervote,undervote
